stationname,parameter,date,hour,conc
Congonhas,CO,2020-04-16,20,0.6
Congonhas,CO,2020-04-16,21,0.5
Congonhas,CO,2020-04-16,22,0.4
Congonhas,CO,2020-04-16,23,0.4
Congonhas,CO,2020-04-16,24,0.3
Congonhas,CO,2020-04-17,1,0.2
Congonhas,CO,2020-04-17,2,0.2
Congonhas,CO,2020-04-17,3,0.2
Congonhas,CO,2020-04-17,4,0.1
Congonhas,CO,2020-04-17,5,0.2
Congonhas,CO,2020-04-17,6,0.4
Congonhas,CO,2020-04-17,7,0.6
Congonhas,CO,2020-04-17,8,0.7
Congonhas,CO,2020-04-17,9,0.8
Congonhas,CO,2020-04-17,10,0.7
Congonhas,CO,2020-04-17,11,0.7
Congonhas,CO,2020-04-17,12,0.6
Congonhas,CO,2020-04-17,13,0.7
Congonhas,CO,2020-04-17,14,0.6
Congonhas,CO,2020-04-17,15,0.6
Congonhas,CO,2020-04-17,16,0.7
Congonhas,CO,2020-04-17,17,0.7
Congonhas,CO,2020-04-17,18,0.8
Congonhas,CO,2020-04-17,19,0.7
Congonhas,CO,2020-04-17,20,0.5
Congonhas,CO,2020-04-17,21,0.5
Congonhas,CO,2020-04-17,22,0.5
Congonhas,CO,2020-04-17,23,0.4
Congonhas,CO,2020-04-17,24,0.3
Congonhas,CO,2020-04-18,1,0.3
Congonhas,CO,2020-04-18,2,0.2
Congonhas,CO,2020-04-18,3,0.2
Congonhas,CO,2020-04-18,4,0.2
Congonhas,CO,2020-04-18,5,0.2
Congonhas,CO,2020-04-18,6,0.4
Congonhas,CO,2020-04-18,7,0.4
Congonhas,CO,2020-04-18,8,0.5
Congonhas,CO,2020-04-18,9,0.3
Congonhas,CO,2020-04-18,10,0.3
Congonhas,CO,2020-04-18,11,0.2
Congonhas,CO,2020-04-18,12,0.4
Congonhas,CO,2020-04-18,13,0.4
Congonhas,CO,2020-04-18,14,0.4
Congonhas,CO,2020-04-18,15,0.4
Congonhas,CO,2020-04-18,16,0.4
Congonhas,CO,2020-04-18,17,0.4
Congonhas,CO,2020-04-18,18,
Congonhas,CO,2020-04-18,19,
Congonhas,CO,2020-04-18,20,
Congonhas,CO,2020-04-18,21,
Congonhas,CO,2020-04-18,22,
Congonhas,CO,2020-04-18,23,
Congonhas,CO,2020-04-18,24,
Cerqueira César,CO,2020-04-01,1,0.3
Cerqueira César,CO,2020-04-01,2,0.2
Cerqueira César,CO,2020-04-01,3,0.2
Cerqueira César,CO,2020-04-01,4,0.2
Cerqueira César,CO,2020-04-01,5,
Cerqueira César,CO,2020-04-01,6,0.2
Cerqueira César,CO,2020-04-01,7,0.3
Cerqueira César,CO,2020-04-01,8,0.3
Cerqueira César,CO,2020-04-01,9,0.3
Cerqueira César,CO,2020-04-01,10,0.4
Cerqueira César,CO,2020-04-01,11,0.3
Cerqueira César,CO,2020-04-01,12,0.4
Cerqueira César,CO,2020-04-01,13,0.3
Cerqueira César,CO,2020-04-01,14,0.3
Cerqueira César,CO,2020-04-01,15,0.2
Cerqueira César,CO,2020-04-01,16,0.2
Cerqueira César,CO,2020-04-01,17,0.2
Cerqueira César,CO,2020-04-01,18,0.2
Cerqueira César,CO,2020-04-01,19,0.2
Cerqueira César,CO,2020-04-01,20,0.2
Cerqueira César,CO,2020-04-01,21,0.2
Cerqueira César,CO,2020-04-01,22,0.3
Cerqueira César,CO,2020-04-01,23,0.2
Cerqueira César,CO,2020-04-01,24,0.2
Cerqueira César,CO,2020-04-02,1,0.2
Cerqueira César,CO,2020-04-02,2,0.1
Cerqueira César,CO,2020-04-02,3,0.1
Cerqueira César,CO,2020-04-02,4,0.1
Cerqueira César,CO,2020-04-02,5,
Cerqueira César,CO,2020-04-02,6,0.3
Cerqueira César,CO,2020-04-02,7,0.4
Cerqueira César,CO,2020-04-02,8,0.4
Cerqueira César,CO,2020-04-02,9,0.5
Cerqueira César,CO,2020-04-02,10,0.4
